招聘标题,公司名称,工作地点,薪资,链接,工作内容
外教助理,熊猫家庭英语合肥分公司,合肥,3-5千/月,http://jobs.51job.com/hefei/94063061.html?s=01&t=0,岗位职责1、负责外籍教师的教学指导和服务工作；2、协同外教一起为客户提供满意的教学服务；3、负责客户售前售后服务，耐心解答客户咨询；4、培训、管理、监督外教工作；5、幼儿园、中小学、成人等英语教学或辅导工作。任职资格1、可以用英文进行书面和口头沟通；2、沟通能力较强；3、良好的沟通和团队合作能力；4、踏实肯干；5、基本的办公自动化能力；6、认真细致；7、具有责任心及服务意识；8、具有国际视野，热爱学习。工作时间：周一到周五 10：00-19：00，中教休息2小时工作地点：齐云路24号一楼薪资待遇：底薪3500+绩效
废气治理工程师,杭州兴洋环保科技有限公司,杭州-下城区,0.4-1万/月,http://jobs.51job.com/hangzhou-xcq/86524951.html?s=01&t=0,1.独立勘察现场、废气处理方案编写、设计图纸绘制； 2.了解VOC类有机废气处理常用工艺，有相关工作经验； 3.能适应短期出差、根据项目需要会有加班情况； 4.从事有机废气设计或工程工作一年以上，了解行业情况； 5.配合公司业务人员促成项目，提供技术支持。 6.环境工程、化学专业优先。
行政前台,湖南君成教育咨询有限公司,长沙,3-5千/月,http://jobs.51job.com/changsha/95675024.html?s=01&t=0
室内空间设计师,长沙九岗雕塑有限公司,长沙-岳麓区,6-8千/月,http://jobs.51job.com/changsha-ylq/91315049.html?s=01&t=0,公司主要针对酒店进行空间室内设计、软装设计，要求有室内设计经验2年以上，有较强的视觉搭配能力、富有创意和较强的审美观。熟练CAD、PS、3D等设计软件。
项目经理,北京上世文化传媒有限公司,北京-海淀区,1-1.5万/月,http://jobs.51job.com/beijing-hdq/98050471.html?s=01&t=0
研发工程师,深圳优博聚能科技有限公司,深圳-龙华新区,10-20万/年,http://jobs.51job.com/shenzhen-lhxq/98993284.html?s=01&t=0
客服专员底薪+提成月5K,杭州坤泽实业股份有限公司苏州分公司,苏州,5-8千/月,http://jobs.51job.com/suzhou/98298665.html?s=01&t=0
采购工程师（限即墨地区）,青岛即东汽车零部件有限公司,青岛-即墨区,4.5-6千/月,http://jobs.51job.com/qingdao-jmq/93993406.html?s=01&t=0,"职位描述：1、供应商的开发、维护与管理；2、采购产品的价格控制：询价、议价、报价；3、采购合同的实施与控制；4、采购过程中问题的处理与沟通；5、产品质量投诉的解决与沟通；6、参与供应商评审；任职资格：1、大专以上学历，采购与供应管理、机械类相关专业；2、熟悉ISO/TS16949质量管理体系；3、具备良好跨部门的组织和协调能力，良好的谈判、人际沟通能力，团队协作能力强；4、汽车配件采购经验优先考虑；5、性格外向，抗压能力强；						"
淘宝客服,深圳集创科技有限公司,深圳-龙岗区,5-9千/月,http://jobs.51job.com/shenzhen-lgq/99558580.html?s=01&t=0,职位描述：任职要求：1.形象大方、成熟、稳重，语言表达能力强；2.表达能力较好，具有较强的沟通能力及执行力，具备良好的客户服务意识；3.积极充满正能量，做事有条有序，思路清晰，目标明确；4.熟悉淘宝后台操作流程，以及平台规则；5.6个月以上客服经验6.有珠宝、饰品销售经验都优先工作职责：1、定期对客户进行回访并做好相关记录;2、按照计划定期为客户介绍公司各项服务，保障所介绍内容质量并对客户关系进行培养和维护;3、解答客户的疑难问题;
外贸业务员,郑州德曼机械设备有限公司,郑州,3-4.5千/月,http://jobs.51job.com/zhengzhou/96069399.html?s=01&t=0,"岗位职责：1. 同新、旧客户保持联系增加沟通，了解客户所需；2. 掌握、了解市场信息，开发新的客源。处理客户。3. 负责本部门外贸跟单业务 。任职资格：1、具有商务英语、国际贸易、等相关专业的本科学历，有1年以上工作经验。2、英语六级以上或同等英语程度，能以流利的英语进行谈判及文书工作，口头表达能力强，有较强的商业意识及谈判技巧，开拓能力强；3、具有良好的业务拓展能力和商务谈判技巧，有较强的团队建设及维护能力；4、熟悉外贸和订单管理流程，具备国际贸易、国际营销、进出口流程等相关领域扎实的基础知识和实战操作经历；6、具有较强的进取精神、团队精神、工作激情，责任心强，抗压性强；7、做事认真，具有责任心及团队合作精神；吃苦耐劳，积极向上的工作作风。8、良好的沟通能力，较强的计划能力、组织协调能力和文字处理能力9、学习能力强，喜欢接受挑战，具备很强的团队协作精神；熟悉电脑和网络操作，并能使用相关知识与客户进行交流。						"
知识产权销售+双休+高薪+绩效,苏州丁酉知识产权代理有限公司,苏州-姑苏区,3-4.5千/月,http://jobs.51job.com/suzhou-gsq/98492523.html?s=01&t=0,任职要求：1：18-32周岁，热爱销售，了解知识产权相关信息；          2：有行业经验者优先；          3：无经验者亦可，公司负责培训，带薪学习；          4：意志坚定、荣誉感强、有强烈的成功欲望；          5：口齿伶俐，思维敏捷，敢于创新。岗位职责：1：负责公司资源、客户的开发与维护；          2：负责新客户的咨询、开发，引导客户需求并咨询；          3：促成客户完成申报需求；          4：按照公司要求，参加岗位培训、销售会议和团队活动；薪资福利：底薪3000+10%~30%提成+双休+奖金+年终奖，      综合工资月薪1万以上， 高薪不封顶！ 
业务经理,江苏通典文化传媒有限公司,南通,4.5-6千/月,http://jobs.51job.com/nantong/99392651.html?s=01&t=0,1、区域市场的走访和市场调研，收集教育教学信息、竞品信息，并分析和反馈； 2、维护区域客户档案、了解区域市场的销售情况，维系良好的客户关系，并挖掘市场潜在客户；3、对区域内各级经销商进行公司政策宣传，并对经销商的经营活动进行指导与组织相关营销活动；4、完成销售部下达的工作任务。 任职资格：1、35周岁以内，***，本科；2、能吃苦耐劳，适应高频次的出差（省外），具有较强的学习能力、沟通能力和团队合作精神，责任心强，富有工作激情；3、有相关工作经验或相关专业者优先（学历可放宽为大专）。薪资：底薪3600元/月+业绩奖（入职后次年税后收入不低于6万元，并会逐年增长）福利：● 缴纳五险一金，享受带薪年假；● 体现工龄津贴、路程补贴等；● 免费提供工作餐和入住员工公寓；● 组织员工体检或旅游活动，发放节日礼品等。
高新申报专员,北京顺然天成咨询有限公司,北京-丰台区,4-8千/月,http://jobs.51job.com/beijing-ftq/77164888.html?s=01&t=0,岗位职责1、协助项目经理完成高新技术企业材料制作及申报工作。要求有相关科技项目申报经验。2、按照政策和格式要求编制项目申请材料；熟悉高新技术企业等申报流程。3、责任心强，协调沟通能力强、工作认真负责。任职资格：2、工作认真细致，责任感强；工作思路敏捷，有良好的应变能力。3、具有良好的文字表达能力。薪资待遇：不太低的底薪+2.5%-10%的业务提成+岗位津贴+青春工资++++++福利待遇：国家法定的都享受，另外还有生日趴、大餐趴、团建趴、健身趴、说走就走的旅游趴、八卦趴、电影趴、游戏趴是狼人杀！还有别的写不下了，来了自己体会吧。
涧西总店导购,洛阳完美生活商贸有限公司,洛阳,3-5千/月,http://jobs.51job.com/luoyang/98548343.html?s=01&t=0,岗位职责：1、具有良好的服务意识，热爱工作责任心强。2、负责店铺的日常销售和服务管理。3、完成上级领导交办的其他任务。4、条件优秀者或有相关工作经验可适当放宽5、会简单电脑操作任职资格：1、年龄18-38岁，有相关工作经验者优先。工作时间：上二休一，9：00-20：30。节假日另休发展通道： 资深销售--店助--店长--区域经理--营运经理
F.销售业务员（挑战高薪）,北京百年飞扬软件有限公司,北京-丰台区,4-8千/月,http://jobs.51job.com/beijing-ftq/99559742.html?s=01&t=0,"在弘历软件，每来访5人可成交一套软件，每来访50人可成交10套软件，入职后最快开单时间为当天，每成交十套软件，收入过万，在弘历软件销售代表第一年人均收入4500，第二年5500，第三年8000，第四年1万。在弘历，每45分钟成交一套弘历软件，每9分钟有一人来了解弘历软件。 职位要求：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场，发展新客户,增加产品销售范围；5、管理维护客户关系，增强客户的优质使用体验；6、负责对重点客户的开发和维护。任职资格：1、对销售有一定的基本认知和经验，有一定的专业知识和技能；2、具有良好的表达能力、沟通能力及公关能力；3、具有较好的工作计划、工作总结、团队协作能力；4、具有良好的音乐感受能力、有销售经验者优先。"
盒马-供应链计划-深圳,阿里巴巴集团,深圳,,http://jobs.51job.com/shenzhen/99558660.html?s=01&t=0,"1单量预测跟进：进销存底层数据的积累，对接线上运营完成单量预测、进销存预测（年度、季度、月度、周度）的修正和传达，确保常态、高峰单量、库存预测的合理性，为日常运行、大型促销活动备战、下阶段预算提供决策支持；2促销预警：各业务促销信息，日、周维度传达到各大仓和门店。为日常运行、大型促销活动备战提供促销预警，匹配门店人力、运力、备货等制定促销方案。3库存健康：门店大仓滞销品、周转率、异常商品库存健康的推动与跟进。库存健康模板的建立和周报的发布、反馈的收集；4存储优化：通过数据挖掘，并结合业务品类规划方案，输出门店大仓品类存储规划及库容扩充等储存优化5沟通与协作：内外部门的沟通协作和上级领导安排的其他工作。1、物流、管理相关专业本科以上学历优先；2、供应链、物流相关从业经验5年以上；3、较强的数据分析能力和逻辑思维能力，较强的沟通能力和讲解说明的能力。4、具备数据分析/方案制作能力，基础办公软件操作熟练，擅长SQL/Excel/PowerPoint等office办公软件，为团队业务发展提供数据支撑。						"
销售行政助理（国企）,北京中科进出口有限责任公司,北京,3.5-5.5千/月,http://jobs.51job.com/beijing/99123665.html?s=01&t=0
人事专员,昆山飞逝蔼电子有限公司,昆山,3-4.5千/月,http://jobs.51job.com/kunshan/93777672.html?s=01&t=0,"岗位职责1、专业人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、推行公司各类规章制度的实施；3、执行人力资源管理各项实务的操作流程和各类规章制度的实施，配合其他业务部门工作；4、管理劳动合同，办理用工、退工手续；5、执行招聘工作流程，协调、办理员工招聘、入职、离职、调任、升职等手续；6、负责管理人力资源相关文件和档案。任职资格1、人力资源或相关专业大专以上学历；2、两年以上人力资源工作经验；3、熟悉人力资源管理各项实务的操作流程，熟悉国家各项劳动人事法规政策，并能实际操作运用；4、具有良好的职业道德，踏实稳重，工作细心，责任心强，有较强的沟通、协调能力，有团队协作精神；5、熟练使用相关办公软件，具备基本的网络知识。						"
网络营销,东莞匡信自动化科技有限公司,东莞,3-7千/月,http://jobs.51job.com/dongguan/95000484.html?s=01&t=0,"1. 了解和搜集网络上行业及竞品的动态信息和行业资讯；2. 利用互联网进行产品的营销及推广，利用网络发布信息并寻找客户线索；3. 熟悉掌握互联网推广技术、精通各种网络营销渠道，手段和工具，能独立完成推广方案的制定，实施和跟踪；4. 有效利用各种网络营销手段（包括SEO/SEM营销、内容营销等），并进行有效资源整合并做营销推广，最终做数据分析与统计；5. 熟悉百度后台推广管理、熟悉搜索引擎原理、对搜索引擎推广、B2B、博客、论坛推广有可行有效的方法。6. 完成领导交办的其他工作；任职要求：1. 2年互联网推广经验，大专及以上学历，营销、计算机等相关专业优先；2. 掌握图片处理工具和技术，能够独立完成图片处理；3. 性格开朗，具备良好的沟通技巧和表达技巧，普通话流利；4. 有良好的学习创新能力，工作积极主动，能够承受一定的工作压力。5. 具有良好的语言表达能力与沟通能力，逻辑性强，具有优良的职业道德和团队协作精神；在这里您将获得：						"
行政人事专员,成都市凌寒实业有限责任公司,成都-锦江区,4.5-6千/月,http://jobs.51job.com/chengdu-jjq/80251194.html?s=01&t=0,职位职责：1.负责前台的接待、电话的接听；各部门直接的沟通协作2.员工请休假手续及入离职手续办理3.员工考勤的监督统计及考勤表的制作4.社保的增加、减少及相关报表的制作5.办公用品的采购、发放6.人员的招聘7.各种费用的审核报销8.规章制度的起草修改，公文写作岗位要求：1. 3年以上行政人事经验，优秀的沟通协调能力2..汉语言专业及人力资源专业优先，******优先3.(非专业人事请勿投简历）
电商产品专员,珠海乐途旅游服务有限公司,广州-番禺区,2.5-3.5千/月,http://jobs.51job.com/guangzhou-pyq/99558659.html?s=01&t=0,职位描述：1.负责在线上平台上线旅游产品，优化产品内容，跟进产品动态；2.根据市场和客户需求，选择有竞争力的产品，制定相关定价策略；3.与其他部门沟通，确保各个协作部门对产品充分的理解；4.跟进产品上线后的产出，及时沟通各方需求，处理客户问题；6.对产品数据进行统计分析，提供客户支持，提升整体产品的用户满意度。任职资格：1.大专以上学历，有工作经验者优先；2.熟悉区域门票、酒+景市场，掌握区域市场分析和产品营销的工具与策略；3、反应灵敏，善于沟通，有强烈的求知欲和上进心，工作积极主动，个性开朗；4、具备良好的客户服务意识，充满热情，能承受工作压力；5、熟悉日常电脑及常用办公软件操作；
无责底薪3000诚聘网络销售（提供住宿）,华夏信通（北京）证券咨询有限公司,沈阳-铁西区,5-8千/月,http://jobs.51job.com/shenyang-txq/98951757.html?s=01&t=0,"1、利用公司提供的客户资源，负责为客户提供专业的股票咨询服务；2、通过持续跟进与服务，深挖客户需求，为客户制定进一步的投资组合和策略；3、针对客户的个性化需求，为客户制定全方位的理财计划；4、热爱金融行业，服从团队经理领导，与团队成员共同配合，完成每月销售任务。任职要求：1、中专及以上学历，金融、市场营销、企业管理专业优先考虑；2、具有敏锐的市场洞察力和准确的客户分析能力,能够有效开发客户资源，有同行业经验者优先；3、具有良好的客户沟通、人际交往及维系客户关系的能力；4、有较强的语言表达能力，抗压能力强，良好的逻辑思维能力和行动力。5、金融行业一年以上工作经验者优先录取。 薪资待遇：1、无责底薪3000＋高提成＋奖金（月度+季度+年终），月平均工资6000以上（业绩非常突出者，可享受除国家法定假期及婚假、产假外，带薪假期至少一个月！）；2、只要你是热爱销售，特别是金融销售行业，公司提供专业的培训平台；3、晋升机制透明（晋升渠道：客户专员-团队经理-市场部经理-市场部总监）；4、月度/年度团队聚餐及活动.5、提供住宿，住宿环境整洁，家电齐全；6、工作环境好，别墅区，共三层（工作区、娱乐区、休闲区、影视区），总面积3000平方米；7、室内办公，无需跑外，公司提供优秀的客户资源，不要怕没有客户源； 8、工作时间：早九晚六，午休11:30-13：00，双休，转正缴纳五险一金。工作地点：辽宁省沈阳市铁西区重工街北一西路52甲金谷平台大厦7号别墅。乘车路线：乘坐277路、278路、303路公交车到东药宿舍站下车步行160米既是。联系电话：024-31362974  徐***"
汽车类教师学科带头人,重庆应用技术职业学院,重庆-合川区,3-4.5千/月,http://jobs.51job.com/chongqing-hcq/95909265.html?s=01&t=0,1.车辆工程、汽车应用技术、汽车制造等相关专业，本科及以上学历，副教授及以上职称，有高校工作经验者优先；2.有3年以上汽车维修厂企业工作经验者优先（学科可放宽至专科）；市级以上技能竞赛前三名及市级以上优秀教练者优先。
海运出口操作,迅平物流（北京）有限公司,深圳-罗湖区,4.5-6千/月,http://jobs.51job.com/shenzhen-lhq/93674659.html?s=01&t=0,1、国家正规院校专科以上学历，物流、国际贸易等相关专业；2、英语四级以上，有良好的英文沟通能力；3、有两年以上海运操作工作经验，熟悉海运出口工作内流及流程；4、工作认真负责、思维敏捷，有良好的客户服务意识；5、熟练掌握各种办公软件；6、拥有国际货物服务跟踪经验者优先。
诚聘***韩语讲师（江汉路授课）,山木培训,武汉-江岸区,50元/小时,http://jobs.51job.com/wuhan-jaq/99276525.html?s=01&t=0,岗位要求：1、大专以上学历；2、专业扎实，口语流利，具有TOPIK中级及以上证书者优先；3、善于表达，性格开朗；有责任心，进取心；4、教学经验不限，面试合格后有免费专业及授课技能培训；5、母语为韩语或有韩国学习工作者条件可适当放宽福利待遇：1、薪资范围：3000-6000；2、面试合格后提供免费专业岗前培训；3、全国直营连锁，发展平台广阔，可根据需求进行工作城市调整；4、免费提供住宿；5、不定时组织全体员工的旅游休假活动；特优员工还可以享受免费香港游或出境游；6、公司为员工提供职业发展中心的平台，及相关培训课程。应聘须知：参加面试时请携带纸质简历一份和相关证书原件或复印件联系人：黄老师联系方式：027-82750086面试地址：武汉市江汉路步行街中心百货对面港澳中心10楼山木培训公司官网：www.smpx.com
铣工,苏州华日金菱机械有限公司,苏州-高新区,4.5-6千/月,http://jobs.51job.com/suzhou-gxq/98991643.html?s=01&t=0,"1、遵守劳动纪律、遵守操作规程，按时完成各项工作任务。2、操作铣床进行铣切加工，保管好工具、夹具。3、保证产品质量，精心维护设备使铣床处于良好状态4、安全操作，杜绝事故发生5、1年以上相关工作经验-----------------------------------------------------公司拥有健康积极向上的企业氛围，提供完善的个人提升空间，完善的公司福利及良好广阔的发展前景。工作时间：周一~周六，8:00~17:00，三餐，宿舍，五险，及其他福利。-----------------------------------------------------有意者直接联系下列联系方式前往面试：联系电话：0512-66321999联系邮箱：huari15@chinarijin.com公司地址：苏州高新区浒墅关镇浒杨路22号（浒关工业园）公交路线：公交328,336,36,323（站台名：浒杨路青花路西站）下车即可工作地址：苏州高新区浒关工业园浒杨路22号"
护士,成都慈铭健康管理有限公司,成都,2-3千/月,http://jobs.51job.com/chengdu/98226251.html?s=01&t=0,"1、介绍健康体检理念及专业化健康体检健康管理工作内容，解答体检者个性化健康知识问题；　　2、帮助、指导体检对象填写健康问卷，并做好沟通工作；　　3、组织、接待、引导、协调客户有序进行健康体检；　　4、参与对体检客户的健康教育、咨询、行为干预；　　5、参与制定健康保健计划，按规定开展随访工作，落实健康处方内容；　　6、管理一定数量的体检客户及体检团队，重点人群重点服务，建立良好的客户关系；　　7、在健康管理师的指导下，针对管理客户提出并实施相关健康保健计划，以及临床医疗信息服务；　　　8、接受中心指令性工作安排。　　9、去到体检中心，护士会拿一份表格，申请人按表格指示填写个人信息，如姓名，性别，出生年月日，年龄，联系地址，手机，档案号，体检报告需要寄往哪里，以及以前是否有病史等资料　　10、填完表格，到收费处交费，这时需要出示护照原件，因为护士要核对申请人的个人资料，申请人必须当着护士的面宣誓将尊重澳洲的价值观，遵守澳洲法律，并签名　　11、交完体检费用后，按护士指示到护士站量血压，测身高，体重，视力，并抽血（抽血主要是验艾滋，不需要空腹，但建议不要吃太过油腻的东西）						"
工程机械整机及配件销售代表,徐州亿丰工程机械有限公司,徐州,4.5-6千/月,http://jobs.51job.com/xuzhou/60333746.html?s=01&t=0,"1.负责工程机械整机及配件的销售工作、客户维护和销售管理等工作。2.制定自己的销售计划，并按计划拜访客户和开发新客户。3.搜集与寻找客户资料，建立客户档案。4.协助销售经理制定销售策略、销售计划。5.做好销售合同的签订、履行与管理等相关工作。6.接待来访客户，以及综合协调日常销售事务。						"
渠道业务员,深圳市艾鹏网络科技有限公司,深圳-龙岗区,0.8-1万/月,http://jobs.51job.com/shenzhen-lgq/91630676.html?s=01&t=0,"岗位职责：1、销售人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、责渠道的开发及维护；3、完成代理商、大代理商的拓展、沟通、签约等工作；4、支持和维系渠道关系；5、完成上级交给的其它事务性工作。任职资格：1、专科及以上学历，市场营销等相关专业；2、2年以上渠道销售工作经验，有大区渠道市场开拓经验者优先；3、熟悉产品市场动态及分销商体系，有分销商渠道开发及管理运营经验；4、具有较强的组织协调能力、良好的沟通能力、语言表达能力和分析判断能力；5、热爱渠道销售工作。【福利待遇】1、薪资构成：基本工资+绩效+全勤奖+补贴/奖金+高提成（提成上不封顶）；2、享受国家法定节假日；3、公司购买社会保险及住房公积金，办公区配员工冰箱、微波炉、咖啡、茶等；4、员工宿舍有空调、热水，可做饭；5、丰富多彩的员工活动：早会、团建郊游、员工聚餐、看电影、自驾游活动；6、提供详细的岗前培训、产品培训、业务技能等专业培训；7、公平的薪酬制度，多劳多得，能者多得；8、人性化管理；给你施展能力的舞台。9、提供职业晋升空间：业务员-业务小组长-业务主管-业务经理【地理位置】公司周边设施配套完善，出行方便，位置所处靠近坪山高铁站、双龙地铁站、公交站台。附近有义乌商品批发城、天虹等各大型超市，公司楼下有万达电影院、KTV、屈臣氏、美容美发店、甜点饮品店、港货店等，附近吃喝玩乐地方众多，让你工作之余有更多选择放松、聚会的场所。						"
企业主办会计,四川德恩进出口有限公司,异地招聘,4-5千/月,http://jobs.51job.com/chengdu-jjq/84631722.html?s=01&t=0,（1）本科以上学历，财务、会计、审计等相关专业本科及以上学历；（2）2年以上会计工作经验；（3）熟悉会计、审计及财务管理等相关知识；（4）具有良好的沟通、语言表达能力，财务分析能力，文字功底扎实；
生產文員,昆山凯颖电子有限公司,昆山,3-4.5千/月,http://jobs.51job.com/kunshan/99560366.html?s=01&t=0,
制程工程师（SMT）,光宝电子（广州）有限公司-工业自...,广州-黄埔区,6-8千/月,http://jobs.51job.com/guangzhou-hpq/99000895.html?s=01&t=0,1．所负责机种的生产制程的跟进及制程良率的改善。
风控经理--湖北省融资租赁,湖北省担保集团有限责任公司,武汉-武昌区,6-8千/月,http://jobs.51job.com/wuhan-wcq/98318596.html?s=01&t=0,岗位职责：（1）参与业务风险分析、市场研究、业务产品的研究和分析，制定相关标准，开展相关业务培训；（2）负责具体项目复核工作，并对所复核项目的保（贷）后风险分类进行初审；（3）完成风险排查任务；（4）完成公司及部门交办的其他工作。任职要求：（1）金融、经济、财会类相关专业，本科及以上学历，需有注册会计师资格证，同时有证券从业资格证书者优先；（2）熟悉信贷、担保、证券、投资等业务方面的专业知识，精通财会知识，熟悉和了解经济、金融政策，擅于分析研究；（3）具有3年及以上会计事务所、会计、担保、信贷、证券、投资、信托、租赁等业务或风险工作经验者优先，具有3年以上大型金融机构信贷业务或风险工作经验者优先；（4）严谨认真，有较强的责任心和主观能动性，具有良好的职业素质和团队合作精神；（5）工作主动，能承受一定的工作压力，具备独立的分析能力和判断能力，执行力强。联系电话：027-87319261
关务,上海酷丹网络科技有限公司,上海-黄浦区,5-6千/月,http://jobs.51job.com/shanghai-hpq/89277040.html?s=01&t=0,"岗位职责：1、海关、国检、到货提发货安排，准备好各种单证和收付款凭证。2、完成商品的备案和申报工作。做好本职SOP。3、完成本企业在外经贸委和海关的企业批文的申报工作。4、一般贸易进出口保税区业务操作熟练,租船订舱,海运费及港口费用核算熟悉:5、每周做好合作企业的报关资料的结转。对报关、税收结果做好批次复盘和周小结。6,  对BC业务熟悉，能够做好口岸的备案及相关数据申报税款的核算等；任职要求：1、国际贸易相关专业，全日制大专以上学历，持有报关资格证者优先；2、有关务工作经验3年以上，具有海关关务实操经验，熟悉关务作业：一般贸易报关、快递报关、BC数据申报、电商清关。3、熟悉海关、商检和进出口检验检疫局等部门办事流程和政策；4、工作态度积极认真、责任心强、有上进心；5、具有基本公共管理处理能力和良好的沟通能力，善于处理突发事件；6、有上海本地及货代工作经验的优先。"
采购助理,上海巧耀实业有限公司,上海,4-4.5千/月,http://jobs.51job.com/shanghai/99558669.html?s=01&t=0,1、负责包辅材料的采购2、负责与外发工厂联系，下达采购通知，协调生产交期。3、负责与供应每月对账、结算工作，并向财务提交付款申请。任职要求：1、具有大专及以上学历，采购相关两年以上相关工作经验优先；2、做事客观、严谨负责、踏实，敬业，人品正直；3、具有很强的人际沟通、协调、组织能力以及高度的团队精神，责任心强；4、熟练操作电脑等办公设备，具备基本的网络知识。
虚拟化系统工程师(云方向),东航金控有限责任公司,上海,1-2万/月,http://jobs.51job.com/shanghai/95426836.html?s=01&t=0,"工作要求：1. 对服务器虚拟化/桌面虚拟化/超融合系统/私有云等领域的研究与设计规划,结合公司实际情况进行部署应用等工作； 2. 日常的虚拟化系统、云系统运维工作 3. 承接领导分配的其他任务岗位要求：1. 1、本科以上学历(优秀者专科亦可)，计算机相关专业 2. 熟悉虚拟化、容器等云相关的理论知识. 3. 掌握vmware vsphere、docker、kvm、openstack等和云相关的技术 4. 熟悉linux 常用命令及常见服务 5. 理解TCP/IP,OSI模型等网络基本原理； 6. 有相关实际工作经验，有VCP、RHCE等证书者优先"
质检员,济南银箭数控设备制造有限公司,异地招聘,3.5-6千/月,http://jobs.51job.com/dezhou/99393537.html?s=01&t=0,"1) 零部件入库前检验，检点数量，严格按检验规范要求进行零部件的检验和试验，并对其测量结果负责；严格按规定认真、如实地填写各种检验/试验记录；所有检验/试验记录应真实有效，字迹清晰、数据准确；2) 检验过程中加强原材料、成品的保护，不得任意使其受到损坏或破坏；3) 对检验和试验发现的不合格品进行标识，并提出处置建议；4) 深入研究精密部件的精度指标、装配工艺、检验手段，进行精密部件装配，为整机提供优质部件。5) 协助仓管整理库存，零部件摆放。协助外协收货。6) 全公司计量器具及计量室建设管理，设施器具维护。专用检具设计制造保管。7) 工作中及工作完成后，严格按规定保持好环境卫生，各种器具、物料码摆放整齐。福利待遇：    每周工作6天，每周日休息，每天工作8小时，中午有工作餐，提供住宿，国家法定节假日正常休假，缴纳五险,具体工资待遇面议。班车路线：经七路和经十路交叉路口（南辛庄）――市立五院――腊山立交桥――张庄路西外环交叉口――泉城花园西门――西外环和小清河北路交叉路口――建邦黄河大桥――桑梓店――国道308沿线――齐河县城――华店工业园"
业务副经理,高略（北京）农业发展有限公司,上海-浦东新区,0.8-1.2万/月,http://jobs.51job.com/shanghai-pdxq/99558666.html?s=01&t=0,岗位职责1、负责公司绿色大米在长三角地区（以上海为主）的宣传、推广和销售工作；2、执行公司的销售策略，开发和维护线下全渠道销售网络系统；3、收集和分析销售区域内同类产品的市场销售信息，协助制定和执行有效的推广销售方案和活动，完成销售任务；4、建立、管理和维护客户的长期合作关系；5、负责完成领导安排的其他工作。任职资格 1、专科以上学历，2年以上快消品销售工作经验，熟悉粮油食品市场者、渠道资源丰富者、有社区流通经验者优先考虑；  2、工作细致认真，责任心强，执行力强；  3、具有较强的语言表达能力与沟通协调能力，良好的谈判技巧，广泛的社交能力及解决问题的能力；  4、能吃苦耐劳，能承受较大的工作压力，并适应出差，会驾驶者优先考虑。
焊工,惠州TCL环境科技有限公司,惠州,3-4.5千/月,http://jobs.51job.com/huizhou/82887531.html?s=01&t=0,任职要求1、有相关焊工经验1年以上2、能熟练操作电焊、氩孤焊。有一定的设备维修能力，持有焊工相关证件岗位职责1、能完成相关焊接任务，团结协助同事完成其他事物。2、能服从调配，具有良好的服从性
SEO经理,合肥酷游网络科技有限公司,合肥,6-8千/月,http://jobs.51job.com/hefei/99471862.html?s=01&t=0
亚马逊运营专员,深圳市途宝科技有限公司,深圳-龙华新区,6-8千/月,http://jobs.51job.com/shenzhen-lhxq/99387259.html?s=01&t=0,1. 负责公司亚马逊帐号管理，确保账号安全，完成销售目标；2. 维护账号指标，保持好评率；礼貌的跟客户索取feedback和review；3. 编写产品英文描述，收集整理完善产品相关英文信息等资料；4. 负责新品上架及定价，包括产品编辑，维护和优化listing页面；5. 亚马逊市场调查与分析，收集分析市场数据，研究竞争对手，制定销售策略；6. 产品排名维护：每天跟踪产品排名升降情况，推动产品搜索排名提升，提高产品销量；并预估产品未来销售情况，提前做好库存策略和定价策略；7. 处理每日订单，回复客户邮件，提升客户购物体验；【任职要求】1.学历大专以上，英语六级，可以跟欧美客户邮件沟通；2.有Amazon/ebay/速卖通销售经验优先；3.热爱外贸电子商务，愿与公司共同发展；4.能够独立思考，有执行能力、做事心细、有耐心；5.欢迎优秀应届生，公司安排专员进行培训。 为不断促进公司发展，实现长远目标，公司现诚恳邀请有志于进出口贸易行业，有活力，有激情的年轻人士加入我们的精英团队，在这里挥洒汗水，感受辛劳，收获喜悦，迈向成功。共同创造属于我们的美好未来。 上班地址：深圳市龙华新区龙观东路展润国际大厦11层1106室面试联系人：苏小姐 13530349382
海运操作,丰翼海运有限公司,上海-浦东新区,6-8千/月,http://jobs.51job.com/shanghai-pdxq/60461398.html?s=01&t=0,职位描述：1.负责租船合同签约后的执行，跟踪船舶动态，保证公司内部，公司与相关客户之间的信息传递。2.负责处理邮件，做好对外沟通。3.负责业务，单据文件的审核及单据校对，存档等事宜。4.完成上级安排的其他事务。岗位要求：户籍不限。1.海事大学国际航运管理相关专业，英语专业或贸易专业或物流专业本科以上学历毕业。要求有散货操作工作经验2年以上，有船东公司工作经验者优先考虑。2.熟悉国际贸易流程和国际海运基础优先，熟悉商务英语信函的写作，普通话流利，英语听说读写流利，达CET-6级或以上水平，口语甚佳者优先考虑。3.语言表达能力强，有亲和力，性格开朗，有团队合作精神，品貌端正，待人热诚有礼。4.能承担高强工作压力，心理素质平和，稳重，沉着。
